Provinsi;Tahun;IPM;Harapan Hidup
GORONTALO;2013;64.7;66.92
SULAWESI BARAT;2013;61.53;63.32
MALUKU;2013;66.09;64.93
MALUKU UTARA;2013;64.78;67.24
PAPUA BARAT;2013;60.91;65.05
PAPUA;2013;56.25;64.76
ACEH;2014;68.81;69.35
SUMATERA UTARA;2014;68.87;68.04
SUMATERA BARAT;2014;69.36;68.32
RIAU;2014;70.33;70.76
JAMBI;2014;68.24;70.43
SUMATERA SELATAN;2014;66.75;68.93
BENGKULU;2014;68.06;68.36
LAMPUNG;2014;66.42;69.66
KEP. BANGKA BELITUNG;2014;68.27;69.72
KEP. RIAU;2014;73.4;69.15
DKI JAKARTA;2014;78.39;72.27
JAWA BARAT;2014;68.8;72.23
JAWA TENGAH;2014;68.78;73.88
DI YOGYAKARTA;2014;76.81;74.5
JAWA TIMUR;2014;68.14;70.45
BANTEN;2014;69.89;69.13
BALI;2014;72.48;71.19
NUSA TENGGARA BARAT;2014;64.31;64.89
NUSA TENGGARA TIMUR;2014;62.26;65.91
KALIMANTAN BARAT;2014;64.89;69.76
KALIMANTAN TENGAH;2014;67.77;69.39
KALIMANTAN SELATAN;2014;67.63;67.47
KALIMANTAN TIMUR;2014;73.82;73.62
KALIMANTAN UTARA;2014;68.64;72.12
SULAWESI UTARA;2014;69.96;70.94
SULAWESI TENGAH;2014;66.43;67.18
SULAWESI SELATAN;2014;68.49;69.59
SULAWESI TENGGARA;2014;68.07;70.39
GORONTALO;2014;65.17;67
SULAWESI BARAT;2014;62.24;64.04
MALUKU;2014;66.74;65.01
MALUKU UTARA;2014;65.18;67.33
PAPUA BARAT;2014;61.28;65.13
PAPUA;2014;56.75;64.84
ACEH;2015;69.45;69.5
SUMATERA UTARA;2015;69.51;68.29
SUMATERA BARAT;2015;69.98;68.66
RIAU;2015;70.84;70.93
JAMBI;2015;68.89;70.56
SUMATERA SELATAN;2015;67.46;69.14
BENGKULU;2015;68.59;68.5
LAMPUNG;2015;66.95;69.9
KEP. BANGKA BELITUNG;2015;69.05;69.88
KEP. RIAU;2015;73.75;69.41
DKI JAKARTA;2015;78.99;72.43
JAWA BARAT;2015;69.5;72.41
JAWA TENGAH;2015;69.49;73.96
DI YOGYAKARTA;2015;77.59;74.68
JAWA TIMUR;2015;68.95;70.68
BANTEN;2015;70.27;69.43
BALI;2015;73.27;71.35
NUSA TENGGARA BARAT;2015;65.19;65.38
NUSA TENGGARA TIMUR;2015;62.67;65.96
KALIMANTAN BARAT;2015;65.59;69.87
KALIMANTAN TENGAH;2015;68.53;69.54
KALIMANTAN SELATAN;2015;68.38;67.8
KALIMANTAN TIMUR;2015;74.17;73.65
KALIMANTAN UTARA;2015;68.76;72.16
SULAWESI UTARA;2015;70.39;70.99
SULAWESI TENGAH;2015;66.76;67.26
SULAWESI SELATAN;2015;69.15;69.8
SULAWESI TENGGARA;2015;68.75;70.44
GORONTALO;2015;65.86;67.12
SULAWESI BARAT;2015;62.96;64.22
MALUKU;2015;67.05;65.31
MALUKU UTARA;2015;65.91;67.44
PAPUA BARAT;2015;61.73;65.19
PAPUA;2015;57.25;65.09
ACEH;2016;70;69.51
SUMATERA UTARA;2016;70;68.33
SUMATERA BARAT;2016;70.73;68.73
RIAU;2016;71.2;70.97
JAMBI;2016;69.62;70.71
SUMATERA SELATAN;2016;68.24;69.16
BENGKULU;2016;69.33;68.56
LAMPUNG;2016;67.65;69.94
KEP. BANGKA BELITUNG;2016;69.55;69.92
